Cost,Endogeneity,day,Approximation,RMSE,MAPE,R2
"[10, 1, 20, 5]","[1, 0.5, -0.2, -0.4]",Sat,x1x2,2.0863485492672758,0.2977739056791586,0.9913232202900744
"[10, 1, 20, 5]","[1, 0.5, -0.2, -0.4]",Sun,x1,4.8414919588190175,0.6599136074123867,0.9442178837276963
"[10, 1, 20, 5]","[1, 0.5, -0.2, -0.4]",Sun,x1^2,1.8891385789617232,0.27184429070204397,0.9915069400253186
"[10, 1, 20, 5]","[1, 0.5, -0.2, -0.4]",Sun,x1^3,1.5035631485493208,0.20080847270314886,0.9946200293975438
"[10, 1, 20, 5]","[1, 0.5, -0.2, -0.4]",Sun,x1x2,1.7677657602058838,0.25805710382411273,0.9925632018764561
"[10, 1, 20, 5]","[1, 0.5, 0.0, 0.0]",Mon,x1,4.540327079690788,0.8735888611737921,0.9107500408414368
"[10, 1, 20, 5]","[1, 0.5, 0.0, 0.0]",Mon,x1^2,2.3316439491889636,0.45035608122630827,0.9764626149817084
"[10, 1, 20, 5]","[1, 0.5, 0.0, 0.0]",Mon,x1^3,2.0832627178877474,0.37170039088993445,0.9812102141874002
"[10, 1, 20, 5]","[1, 0.5, 0.0, 0.0]",Mon,x1x2,1.8355310345867395,0.35685588562355813,0.9854132946743402
"[10, 1, 20, 5]","[1, 0.5, 0.0, 0.0]",Tue,x1,4.343728142598779,0.8497831689489412,0.8967458589110554
"[10, 1, 20, 5]","[1, 0.5, 0.0, 0.0]",Tue,x1^2,2.0361667408400153,0.3761222922856534,0.9773113380785503
"[10, 1, 20, 5]","[1, 0.5, 0.0, 0.0]",Tue,x1^3,1.874231855809462,0.3447316866246407,0.9807766605182763
"[10, 1, 20, 5]","[1, 0.5, 0.0, 0.0]",Tue,x1x2,1.5371092157118587,0.2905399846184366,0.9870702044429676
"[10, 1, 20, 5]","[1, 0.5, 0.0, 0.0]",Wed,x1,4.647185098556848,0.9089246365942817,0.8958664020666885
"[10, 1, 20, 5]","[1, 0.5, 0.0, 0.0]",Wed,x1^2,1.9624312632551102,0.38019394313817584,0.9814305158202479
"[10, 1, 20, 5]","[1, 0.5, 0.0, 0.0]",Wed,x1^3,1.7864738287238362,0.33386766196660467,0.9846112179482767
"[10, 1, 20, 5]","[1, 0.5, 0.0, 0.0]",Wed,x1x2,1.7060300933822423,0.3360168417404412,0.9859659083797061
"[10, 1, 20, 5]","[1, 0.5, 0.0, 0.0]",Thu,x1,4.390050902720415,0.8469011050603246,0.9186952168991837
"[10, 1, 20, 5]","[1, 0.5, 0.0, 0.0]",Thu,x1^2,2.0026698702122703,0.37487617734174317,0.9830801810448397
"[10, 1, 20, 5]","[1, 0.5, 0.0, 0.0]",Thu,x1^3,1.7898141183548566,0.3238689659636181,0.9864857221762194
"[10, 1, 20, 5]","[1, 0.5, 0.0, 0.0]",Thu,x1x2,1.5982668523685977,0.3097159562507974,0.9892235537151879
"[10, 1, 20, 5]","[1, 0.5, 0.0, 0.0]",Fri,x1,5.127208544181838,1.0289662253663232,0.9054777740613559
"[10, 1, 20, 5]","[1, 0.5, 0.0, 0.0]",Fri,x1^2,2.656930745878127,0.49895008133149144,0.9746176139725475
"[10, 1, 20, 5]","[1, 0.5, 0.0, 0.0]",Fri,x1^3,2.522939234091487,0.4591933359801496,0.9771131745799695
"[10, 1, 20, 5]","[1, 0.5, 0.0, 0.0]",Fri,x1x2,2.2495397250368097,0.43838994941752263,0.9818046962704926
"[10, 1, 20, 5]","[1, 0.5, 0.0, 0.0]",Sat,x1,5.43542547227253,1.0369327664432646,0.9419073448303277
"[10, 1, 20, 5]","[1, 0.5, 0.0, 0.0]",Sat,x1^2,2.101862163625907,0.3971178984459388,0.9913131444308897
"[10, 1, 20, 5]","[1, 0.5, 0.0, 0.0]",Sat,x1^3,2.031533718712248,0.39331173948757936,0.9918847443426696
"[10, 1, 20, 5]","[1, 0.5, 0.0, 0.0]",Sat,x1x2,2.0645820241922457,0.38607592680421465,0.9916185642619983
"[10, 1, 20, 5]","[1, 0.5, 0.0, 0.0]",Sun,x1,3.8134002691963156,0.6806794940820283,0.9643140243368704
"[10, 1, 20, 5]","[1, 0.5, 0.0, 0.0]",Sun,x1^2,2.302433936136617,0.44859424966625755,0.9869909032134039
"[10, 1, 20, 5]","[1, 0.5, 0.0, 0.0]",Sun,x1^3,1.68444896552309,0.305546304260821,0.9930371265139187
"[10, 1, 20, 5]","[1, 0.5, 0.0, 0.0]",Sun,x1x2,2.1915842885887598,0.42402488124952664,0.9882133836985767
"[10, 1, 20, 5]","[1, 0.5, 0.2, 0.4]",Mon,x1,4.229942501248167,0.9308386893543612,0.9258612912710298
"[10, 1, 20, 5]","[1, 0.5, 0.2, 0.4]",Mon,x1^2,1.6433602984982454,0.34611722123415584,0.9888097015030246
"[10, 1, 20, 5]","[1, 0.5, 0.2, 0.4]",Mon,x1^3,1.4408453888028807,0.2983986627138568,0.9913977739316624
"[10, 1, 20, 5]","[1, 0.5, 0.2, 0.4]",Mon,x1x2,1.21516501815065,0.2656213651180483,0.9938814768557208
"[10, 1, 20, 5]","[1, 0.5, 0.2, 0.4]",Tue,x1,4.367555989321911,0.986515065071623,0.9001521644207511
"[10, 1, 20, 5]","[1, 0.5, 0.2, 0.4]",Tue,x1^2,1.6348642491131122,0.33869123309518856,0.9860097625185535
"[10, 1, 20, 5]","[1, 0.5, 0.2, 0.4]",Tue,x1^3,1.4722681936974975,0.301919208054742,0.9886541887950379
"[10, 1, 20, 5]","[1, 0.5, 0.2, 0.4]",Tue,x1x2,1.0502351594304098,0.2178864645893942,0.994226558101627
"[10, 1, 20, 5]","[1, 0.5, 0.2, 0.4]",Wed,x1,4.4882357151209025,1.000216374244655,0.9065356486413085
"[10, 1, 20, 5]","[1, 0.5, 0.2, 0.4]",Wed,x1^2,1.6362798879625935,0.3565141559221193,0.9875774753716767
"[10, 1, 20, 5]","[1, 0.5, 0.2, 0.4]",Wed,x1^3,1.4820098298710211,0.31262127277949386,0.9898094681620446
